Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
1000463,packages_apps_Settings,4,[1000000],[1000000],['src/com/android/settings/bluetooth/SavedBluetoothTwsDeviceUpdater.java'],bluetooth: update SavedBluetoothTwsDeviceUpdater for superclass ctor signature change,closed
1000463,packages_apps_Settings,7,[1000000],[1000000],['src/com/android/settings/bluetooth/SavedBluetoothTwsDeviceUpdater.java'],Implement abstract method getPreferenceKey in SavedBluetoothTwsDeviceUpdater,closed
1000463,packages_apps_Settings,5,[1000000],[1000000],['src/com/android/settings/development/bluetooth/BluetoothCodecDialogPreference.java'],BT: Use translated a2dp codec strings,closed
1000463,packages_apps_Settings,23,[1000000],[1000000],"['src/com/android/settings/development/bluetooth/AbstractBluetoothDialogPreferenceController.java', 'res/layout/bluetooth_audio_codec_dialog.xml', 'src/com/android/settings/development/bluetooth/BluetoothCodecDialogPreference.java']",A2dpSrc: DEV-UI support for Blutooth Audio codec.,closed
1000463,packages_apps_Settings,11,[1000000],[1000000],['src/com/android/settings/bluetooth/SavedBluetoothTwsDeviceUpdater.java'],Bluetooth-TWS: UI updates based on Filter matched,closed
1000463,packages_apps_Settings,8,[1000000],[1000000],['src/com/android/settings/bluetooth/SavedBluetoothTwsDeviceUpdater.java'],Bluetooth-TWS: UI updates based on profile connection.,closed
1000463,packages_apps_Settings,6,[1000000],[1000000],['src/com/android/settings/connecteddevice/SavedTwsDeviceGroupController.java'],Fix build error,closed
1000463,packages_apps_Settings,3,[1000000],[1000000],['src/com/android/settings/bluetooth/SavedBluetoothTwsDeviceUpdater.java'],Bluetooth-TWS: Filter TWS devices,closed
1000463,packages_apps_Settings,329,[1000000],[1000000],"['src/com/android/settings/bluetooth/SavedBluetoothTwsDeviceUpdater.java', 'src/com/android/settings/connecteddevice/ConnectedDeviceDashboardFragment.java', 'res/values/custom_strings.xml', 'src/com/android/settings/bluetooth/SavedBluetoothDeviceUpdater.java', 'src/com/android/settings/connecteddevice/SavedTwsDeviceGroupController.java', 'res-pixel/xml/connected_devices.xml', 'res/xml/connected_devices.xml']",Bluetooth: Create new catogory for earbuds,closed
1000463,packages_apps_Bluetooth,70,[1000000],[1000000],['src/com/android/bluetooth/btservice/AdapterService.java'],AdapterService: Rework stubs for QTI APIs,closed
1000463,packages_apps_Bluetooth,151,[1000000],[1000000],"['src/com/android/bluetooth/gatt/PeriodicScanManager.java', 'src/com/android/bluetooth/gatt/GattService.java', 'jni/com_android_bluetooth_gatt.cpp']",PAST feature implementation,closed
1000463,packages_apps_Bluetooth,171,[1000000],[1000000],"['src/com/android/bluetooth/gatt/PeriodicScanManager.java', 'jni/com_android_bluetooth_gatt.cpp']",Periodic Sync Feature implementation,closed
1000463,packages_apps_Bluetooth,9,[1000000],[1000000],"['Android.bp', 'tests/robotests/Android.mk']",Bluetooth: Reset packages/apps/Bluetooth to upstream,closed
1000463,packages_apps_Bluetooth,8,[1000000],[1000000],['src/com/android/bluetooth/btservice/AdapterService.java'],Stub TWS related APIs,closed
1000463,packages_apps_Bluetooth,22,[1000000],[1000000],['src/com/android/bluetooth/btservice/AdapterService.java'],GAP: Reset bondingInitiatedLocally flag(2/3),closed
1000463,packages_apps_Bluetooth,16,[1000000],[1000000],['src/com/android/bluetooth/btservice/AdapterService.java'],BT: API to update quiet mode status in Adapter service [1/3],closed
1000463,packages_apps_Bluetooth,151,[1000000],[1000000],"['src/com/android/bluetooth/gatt/ScanManager.java', 'jni/com_android_bluetooth_gatt.cpp']",Add BLE Scan Phy parameter to scan API,closed
1000000,manifest,8,[1000000],"[1000000, 1000002]",['snippets/pixel-caf.xml'],pixel-caf: Track qti-bt repos,closed
1000000,frameworks_base,9,[1000000],"[1000000, 1000002, 1000257]","['packages/SystemUI/res/values/custom_config.xml', 'packages/SystemUI/src/com/android/systemui/screenrecord/ScreenMediaRecorder.java']",SystemUI: allow to limit the max framerate of built-in screen recorder,closed
1000000,vendor_custom-preference,4,[1000000],"[1000000, 1000002]",['src/com/android/settings/custom/preference/RemotePreference.java'],custom-preference: Stop using PreferenceScreen styles for preferences,closed
1000018,vendor_aosp,6,[1000000],[1000000],['overlay/common/packages/apps/SimpleDeviceConfig/res/values/config.xml'],aosp: overlay: Enable adaptive sound,closed
1000000,frameworks_base,2,[1000000],"[1000000, 1000002]",['core/java/com/android/internal/os/Zygote.java'],Use tmpArgBuffer correctly when argBuffer is null,closed
1000000,frameworks_base,4,[1000000],"[1000000, 1000002]",['core/java/android/os/FileUtils.java'],Correction in logic of roundend size calculation of SD card,closed
1000000,build_soong,2,[1000000],"[1000000, 1000002, 1000468]",['cc/cc.go'],Replace qti_kernel_headers with generated_kernel_headers,closed
1000411,vendor_aosp,16,[1000000],[1000000],"['rro_overlays/FilesOverlay/Android.bp', 'rro_overlays/FilesOverlay/AndroidManifest.xml', 'rro_overlays/FilesOverlay/res/values/bools.xml', 'config/rro_overlays.mk']",rro_overlays: remove Files overlay,closed
1000000,packages_apps_Updates,8,[1000000],"[1000000, 1000002]","['res/values/styles.xml', 'res/layout/update_item_view.xml', 'res/layout/extra_card_view.xml']",Fix missing resource,closed
1000000,packages_apps_Updates,122,[1000000],"[1000000, 1000002]","['AndroidManifest.xml', 'res/values/settingslib_styles.xml', 'res/values-night/settingslib_colors.xml', 'res/values-night/settingslib_styles.xml', 'res/values/settingslib_strings.xml', 'res/values/settingslib_colors.xml', 'res/values/settingslib_dimens.xml']","Revert ""Adapt for builds on Android Studio""",closed
1000000,packages_apps_Updates,122,[1000000],"[1000000, 1000002]","['AndroidManifest.xml', 'res/values/settingslib_styles.xml', 'res/values-night/settingslib_colors.xml', 'res/values-night/settingslib_styles.xml', 'res/values/settingslib_strings.xml', 'res/values/settingslib_colors.xml', 'res/values/settingslib_dimens.xml']",Adapt for builds on Android Studio,closed
1000000,packages_apps_Updates,10,[1000000],"[1000000, 1000002]","['src/org/pixelexperience/ota/UpdatesActivity.java', 'src/org/pixelexperience/ota/controller/UpdaterController.java']",Change update available message logic,closed
1000000,packages_apps_Updates,254,[1000000],"[1000000, 1000002]","['res/values-night/colors.xml', 'src/org/pixelexperience/ota/UpdatesActivity.java', 'res/layout/extras_fragment.xml', 'res/layout/update_item_view.xml', 'res/values/colors.xml', 'res/values/styles.xml', 'Android.mk', 'res/layout/activity_updates.xml', 'build.gradle', 'res/color/raised_button_color.xml', 'res/menu/menu_toolbar.xml', 'res/values/fonts.xml', 'res/drawable/ic_progress_bg.xml']",Follow Android 12 UX,closed
1000000,packages_apps_Updates,6,[1000000],"[1000000, 1000002]","['gen-keystore.sh', 'build.gradle']",Update to sdk 31,closed
1000000,packages_apps_Updates,0,[1000000],"[1000000, 1000002]","['gen-keystore.sh', 'system_libs/framework.jar']",Update framework lib,closed
1000000,packages_apps_Updates,2,[1000000],"[1000000, 1000002]",['build.gradle'],Update gradle version,closed
1000000,packages_apps_Updates,1,[1000000],"[1000000, 1000002]",['Android.mk'],Build swiperefreshlayout,closed
1000000,packages_apps_Updates,4,[1000000],"[1000000, 1000002]",['Android.mk'],Updater: Move to /system_ext,closed
1000000,packages_apps_Updates,7,[1000000],"[1000000, 1000002]",['AndroidManifest.xml'],Add exported flags in manifest,closed
1000000,packages_apps_Updates,20,[1000000],"[1000000, 1000002]","['src/org/pixelexperience/ota/UpdatesCheckReceiver.java', 'src/org/pixelexperience/ota/ExportUpdateService.java', 'src/org/pixelexperience/ota/controller/UpdaterService.java']",Updater: Add FLAG_IMMUTABLE flag to PendingIntent,closed
1000000,packages_apps_Updates,1,[1000000],"[1000000, 1000002]",['Android.mk'],Add missing localbroadcastmanager dependency,closed
