Author,Project/Subproject,Change_Size,Final Reviewers,All Reviewers,File Info,Subject,Status
497,Impala-ASF,83,[255],"[211, 255, 333, 497]","['be/src/util/ldap-search-bind.cc', 'be/src/util/ldap-search-bind.h', 'fe/src/test/java/org/apache/impala/customcluster/LdapSearchBindImpalaShellTest.java', 'fe/src/test/java/org/apache/impala/testutil/LdapUtil.java', 'fe/src/test/resources/users.ldif']",IMPALA-11042: Escape special characters in LDAP filters,closed
422,kudu,274,"[195, 215]","[120, 195, 215, 241, 422]","['src/kudu/fs/fs_manager.cc', 'src/kudu/fs/log_block_manager.cc', 'src/kudu/tablet/tablet_bootstrap.cc', 'src/kudu/tserver/ts_tablet_manager.cc', 'src/kudu/tserver/ts_tablet_manager.h', 'src/kudu/tablet/tablet_metadata.cc', 'src/kudu/tserver/ts_tablet_manager-test.cc']",[bootstrap] Speedup tablet bootstrap,closed
593,Impala-ASF,43,"[593, 515, 563, 255]","[593, 515, 563, 255]","['src/kudu/fs/fs_manager.cc', 'src/kudu/fs/log_block_manager.cc', 'src/kudu/tablet/tablet_bootstrap.cc', 'src/kudu/tserver/ts_tablet_manager.cc', 'src/kudu/tserver/ts_tablet_manager.h', 'src/kudu/tablet/tablet_metadata.cc', 'src/kudu/tserver/ts_tablet_manager-test.cc']",IMPALA-11047 Preconditions.checkNotNull(statsTuple_) fail in HdfsScanNode.java if PARQUET_READ_STATISTICS=0,new
593,Impala-ASF,596,"[593, 515, 644, 190, 255]","[593, 515, 644, 190, 255]","['src/kudu/fs/fs_manager.cc', 'src/kudu/fs/log_block_manager.cc', 'src/kudu/tablet/tablet_bootstrap.cc', 'src/kudu/tserver/ts_tablet_manager.cc', 'src/kudu/tserver/ts_tablet_manager.h', 'src/kudu/tablet/tablet_metadata.cc', 'src/kudu/tserver/ts_tablet_manager-test.cc']",[WIP] IMPALA-10992 Planner changes for estimate peak memory,new
544,Impala-ASF,69,[255],[255],"['src/kudu/fs/fs_manager.cc', 'src/kudu/fs/log_block_manager.cc', 'src/kudu/tablet/tablet_bootstrap.cc', 'src/kudu/tserver/ts_tablet_manager.cc', 'src/kudu/tserver/ts_tablet_manager.h', 'src/kudu/tablet/tablet_metadata.cc', 'src/kudu/tserver/ts_tablet_manager-test.cc']",IMPALA-11030: Fix incorrect creation of common partition exprs,new
336,Impala-ASF,19,[451],"[255, 336, 451]","['fe/src/main/java/org/apache/impala/service/CatalogOpExecutor.java', 'tests/custom_cluster/test_local_catalog.py']",IMPALA-10886: Fix loss of createEventId for INSERT created partitions,closed
529,Impala-ASF,346,[255],[255],"['fe/src/main/java/org/apache/impala/service/CatalogOpExecutor.java', 'tests/custom_cluster/test_local_catalog.py']",WIP IMPALA-10871 (part 2): Apache Hive 3: fixes for dataset loading,new
529,Impala-ASF,3259,"[336, 529, 451, 255]","[336, 529, 451, 255]","['fe/src/main/java/org/apache/impala/service/CatalogOpExecutor.java', 'tests/custom_cluster/test_local_catalog.py']",IMPALA-10871: Add MetastoreShim to support Apache Hive 3.1.2,new
416,Impala-ASF,72,[255],"[190, 255, 416]","['be/src/util/default-path-handlers.cc', 'tests/custom_cluster/test_web_pages.py']",IMPALA-10764: hide /logs link in webui if --logtostderr=true,closed
195,kudu,2,"[215, 217]","[120, 195, 215, 217, 658]",['src/kudu/scripts/start_kudu.sh'],[scripts] fix bogus warning in start_kudu.sh,closed
195,kudu,58,"[215, 217]","[120, 195, 215, 217, 658]",['src/kudu/scripts/start_kudu.sh'],[scripts] add hard memory limit for mini-cluster processes,closed
455,kudu,108,"[195, 215, 217]","[120, 195, 215, 217, 241, 455]","['src/kudu/integration-tests/delete_tablet-itest.cc', 'src/kudu/master/catalog_manager.cc', 'src/kudu/mini-cluster/internal_mini_cluster.cc', 'src/kudu/mini-cluster/internal_mini_cluster.h']",KUDU-3341: Stop retrying to DeleteTablet on wrong server,closed
336,Impala-ASF,4,[333],"[255, 333, 336]",['bin/impala-config.sh'],IMPALA-11037: Bump ORC to 1.7.0-p4,closed
653,Impala-ASF,370,[255],"[255, 336, 451, 645, 653]","['be/src/service/impala-server.cc', 'be/src/util/backend-gflag-util.cc', 'common/thrift/BackendGflags.thrift', 'common/thrift/CatalogService.thrift', 'fe/src/main/java/org/apache/impala/catalog/CompactionInfoLoader.java', 'fe/src/main/java/org/apache/impala/catalog/HdfsTable.java', 'fe/src/main/java/org/apache/impala/catalog/local/CatalogdMetaProvider.java', 'fe/src/main/java/org/apache/impala/catalog/local/DirectMetaProvider.java', 'fe/src/main/java/org/apache/impala/catalog/local/MetaProvider.java', 'fe/src/main/java/org/apache/impala/service/BackendConfig.java', 'fe/src/main/java/org/apache/impala/util/AcidUtils.java', 'fe/src/test/java/org/apache/impala/catalog/local/CatalogdMetaProviderTest.java', 'fe/src/main/java/org/apache/impala/service/Frontend.java']",IMPALA-11032: Automatic Refresh of Metadata for Local Catalog after Compaction,closed
336,native-toolchain,965,[336],"[333, 336, 344]","['buildall.sh', 'source/orc/orc-1.7.0-patches/0004-ORC-1020-C-Optimize-RleDecoderV2-nextDirect-base-on-.patch']",IMPALA-11037: Bump ORC to 1.7.0-p4 to contain ORC-1020,closed
609,Impala-ASF,131,[190],"[190, 255, 609]","['be/src/scheduling/scheduler.cc', 'be/src/scheduling/scheduler.h', 'testdata/workloads/functional-query/queries/QueryTest/mt-dop.test', 'common/thrift/Query.thrift']",IMPALA-10970: Fix criterion for classifying coordinator only query,closed
658,kudu,28,"[195, 215]","[120, 195, 215, 658]",['src/kudu/scripts/start_kudu.sh'],start_kudu.sh script changes,closed
215,kudu,47,"[658, 215, 120, 217, 633]","[658, 215, 120, 217, 633]",['src/kudu/scripts/start_kudu.sh'],[tools] KUDU-3337 Add unsafe_create_cmeta tool,new
